update_id,best_bid_price,best_bid_qty,best_ask_price,best_ask_qty,transaction_time,event_time
3319368614424,27981.90000000,1.18200000,27982.30000000,0.08500000,1696204804612,1696204807097
3319368614971,27981.90000000,1.18100000,27982.30000000,0.08500000,1696204804615,1696204807115
3319368616366,27981.90000000,1.17900000,27982.30000000,0.08500000,1696204804620,1696204807117
3319368616668,27981.90000000,1.17900000,27982.30000000,0.07500000,1696204804621,1696204807117
3319368618036,27981.90000000,1.17800000,27982.30000000,0.07500000,1696204804626,1696204807121
3319368618259,27981.90000000,1.16800000,27982.30000000,0.07500000,1696204804627,1696204807122
3319368619118,27981.90000000,1.16800000,27982.30000000,0.07400000,1696204804630,1696204807124
3319368620426,27981.90000000,1.13800000,27982.30000000,0.07400000,1696204804633,1696204807126
3319368620471,27981.90000000,1.12300000,27982.30000000,0.07400000,1696204804634,1696204807126
3319368620607,27981.90000000,1.09300000,27982.30000000,0.07400000,1696204804634,1696204807128
3319368621742,27981.90000000,0.91600000,27982.30000000,0.07400000,1696204804637,1696204807128
3319368622891,27984.00000000,0.38600000,27984.10000000,0.12900000,1696204804639,1696204807129
3319368623668,27984.00000000,0.38500000,27984.10000000,0.12900000,1696204804641,1696204807130
3319368624383,27984.20000000,0.21100000,27984.30000000,0.04000000,1696204804643,1696204807135
3319368624410,27984.20000000,0.21100000,27984.30000000,0.03800000,1696204804643,1696204807135
3319368625524,27984.50000000,0.55000000,27984.60000000,1.59800000,1696204804648,1696204807139
3319368625884,27984.50000000,0.53300000,27984.60000000,1.59800000,1696204804649,1696204807142
3319368626141,27984.50000000,0.53300000,27984.60000000,1.59100000,1696204804650,1696204807143
3319368626632,27984.50000000,0.53300000,27984.60000000,0.46400000,1696204804652,1696204807146
3319368627484,27984.50000000,0.53300000,27984.60000000,0.45900000,1696204804656,1696204807148
3319368628376,27984.50000000,0.84500000,27984.60000000,0.45900000,1696204804659,1696204807150
3319368628405,27984.50000000,1.14300000,27984.60000000,0.45900000,1696204804660,1696204807150
3319368628453,27984.50000000,0.84500000,27984.60000000,0.45900000,1696204804660,1696204807150
3319368628620,27984.50000000,0.84500000,27984.60000000,0.40100000,1696204804660,1696204807150
3319368628985,27984.50000000,0.84400000,27984.60000000,0.40100000,1696204804662,1696204807153
3319368630969,27984.50000000,0.74100000,27984.60000000,0.40100000,1696204804669,1696204807162
3319368631241,27984.50000000,0.42900000,27984.60000000,0.40100000,1696204804670,1696204807163
3319368631458,27984.50000000,0.42900000,27984.60000000,0.40000000,1696204804671,1696204807163
3319368632389,27984.50000000,0.42900000,27984.60000000,0.36800000,1696204804674,1696204807166
3319368632706,27984.50000000,0.42900000,27984.70000000,0.44100000,1696204804675,1696204807168
3319368635081,27984.00000000,0.28500000,27984.70000000,0.44100000,1696204804682,1696204807174
3319368638232,27984.00000000,0.28400000,27984.70000000,0.44100000,1696204804693,1696204807188
3319368639623,27984.00000000,0.28400000,27984.70000000,0.42100000,1696204804697,1696204807195
3319368640199,27984.00000000,0.28400000,27984.70000000,0.17200000,1696204804699,1696204807196
3319368641563,27984.00000000,0.28400000,27984.80000000,0.03700000,1696204804703,1696204807201
3319368642791,27984.00000000,0.28400000,27984.90000000,0.21700000,1696204804707,1696204807206
3319368643659,27984.00000000,0.28300000,27984.90000000,0.21700000,1696204804710,1696204807207
3319368650738,27984.00000000,0.28300000,27984.90000000,0.00100000,1696204804732,1696204807232
3319368650813,27984.00000000,0.28300000,27984.40000000,0.12000000,1696204804732,1696204807232
3319368653210,27984.00000000,0.10400000,27984.40000000,0.12000000,1696204804738,1696204807241
3319368655653,27984.00000000,0.10400000,27984.40000000,0.11900000,1696204804744,1696204807249
3319368657764,27984.00000000,0.10000000,27984.40000000,0.11900000,1696204804750,1696204807260
3319368658068,27984.00000000,0.09700000,27984.40000000,0.11900000,1696204804751,1696204807261
3319368658143,27984.00000000,0.09700000,27984.40000000,0.11100000,1696204804751,1696204807261
3319368660645,27984.00000000,0.09700000,27985.00000000,3.54800000,1696204804759,1696204807271
3319368661580,27984.00000000,0.09700000,27985.00000000,3.54700000,1696204804762,1696204807273
3319368661723,27984.00000000,0.09600000,27985.00000000,3.54700000,1696204804762,1696204807273
3319368662370,27984.00000000,0.05400000,27985.00000000,3.54700000,1696204804764,1696204807276
3319368662968,27984.00000000,0.05400000,27985.00000000,3.39700000,1696204804766,1696204807280
3319368664161,27984.00000000,0.05400000,27985.00000000,3.37100000,1696204804769,1696204807281
3319368664540,27984.00000000,0.05400000,27985.00000000,3.37000000,1696204804770,1696204807283
3319368664676,27984.00000000,0.05400000,27985.00000000,3.25800000,1696204804771,1696204807285
3319368665212,27984.00000000,0.05400000,27985.00000000,3.25400000,1696204804773,1696204807286
3319368665720,27984.00000000,0.05300000,27985.00000000,3.25400000,1696204804774,1696204807288
3319368666010,27984.00000000,0.04300000,27985.00000000,3.25400000,1696204804775,1696204807289
3319368666032,27984.00000000,0.04300000,27985.00000000,3.25300000,1696204804775,1696204807289
3319368666550,27984.00000000,0.04200000,27985.00000000,3.25300000,1696204804776,1696204807292
3319368666613,27984.00000000,0.04200000,27985.00000000,3.25200000,1696204804776,1696204807292
3319368671160,27985.20000000,0.08500000,27985.90000000,0.10500000,1696204804788,1696204807310
3319368673701,27984.00000000,0.00300000,27985.90000000,0.10500000,1696204804795,1696204807320
3319368674349,27983.90000000,0.06400000,27985.90000000,0.10500000,1696204804797,1696204807326
3319368675282,27983.90000000,0.06400000,27985.90000000,0.10200000,1696204804800,1696204807327
3319368679047,27983.90000000,0.06400000,27985.90000000,0.09900000,1696204804811,1696204807340
3319368679377,27983.90000000,0.06400000,27985.90000000,0.09700000,1696204804812,1696204807340
3319368679823,27983.50000000,0.51800000,27985.90000000,0.09700000,1696204804813,1696204807344
3319368681726,27983.50000000,0.51800000,27986.00000000,0.12400000,1696204804818,1696204807348
3319368682648,27983.50000000,0.51200000,27986.00000000,0.12400000,1696204804821,1696204807354
3319368682712,27983.50000000,0.51200000,27986.00000000,0.11300000,1696204804821,1696204807358
3319368683494,27983.50000000,0.51200000,27986.00000000,0.11200000,1696204804823,1696204807359
3319368683620,27983.50000000,0.51200000,27987.00000000,0.17100000,1696204804823,1696204807359
3319368683941,27983.50000000,0.51200000,27987.00000000,0.16100000,1696204804824,1696204807360
3319368685162,27983.50000000,0.49200000,27987.00000000,0.16100000,1696204804828,1696204807362
3319368685193,27983.50000000,0.49200000,27987.00000000,0.09000000,1696204804828,1696204807362
3319368685286,27983.50000000,0.49200000,27987.00000000,0.08900000,1696204804828,1696204807362
3319368686797,27983.50000000,0.49200000,27986.70000000,0.09400000,1696204804832,1696204807371
3319368686911,27983.50000000,0.49200000,27984.00000000,0.17900000,1696204804833,1696204807371
3319368687660,27983.50000000,0.47800000,27984.00000000,0.17900000,1696204804835,1696204807375
3319368688220,27983.50000000,0.47800000,27984.00000000,0.17600000,1696204804837,1696204807377
3319368688248,27983.50000000,0.47800000,27984.00000000,0.17300000,1696204804837,1696204807377
3319368688306,27983.50000000,0.47800000,27984.00000000,0.17000000,1696204804837,1696204807377
3319368688346,27983.50000000,0.47800000,27984.00000000,0.16700000,1696204804837,1696204807377
3319368688358,27983.50000000,0.47800000,27984.00000000,0.16400000,1696204804837,1696204807377
3319368688363,27983.50000000,0.47800000,27984.00000000,0.16100000,1696204804837,1696204807377
3319368688406,27983.50000000,0.47800000,27984.00000000,0.15800000,1696204804837,1696204807377
3319368688447,27983.50000000,0.47800000,27984.00000000,0.15500000,1696204804837,1696204807377
3319368688477,27983.50000000,0.47800000,27984.00000000,0.09500000,1696204804837,1696204807377
3319368688743,27983.50000000,0.47800000,27987.20000000,0.52500000,1696204804838,1696204807377
3319368689380,27983.30000000,0.57800000,27987.20000000,0.52500000,1696204804840,1696204807379
3319368689535,27983.30000000,0.53600000,27987.20000000,0.52500000,1696204804840,1696204807381
3319368690287,27983.30000000,0.39700000,27987.20000000,0.52500000,1696204804843,1696204807383
3319368690629,27983.30000000,0.39700000,27987.20000000,0.52200000,1696204804844,1696204807384
3319368690636,27983.30000000,0.39700000,27987.20000000,0.51900000,1696204804844,1696204807384
3319368690682,27983.30000000,0.39700000,27987.20000000,0.51600000,1696204804844,1696204807384
3319368690701,27983.30000000,0.39700000,27987.20000000,0.51300000,1696204804844,1696204807385
3319368690720,27983.30000000,0.39700000,27987.20000000,0.51000000,1696204804844,1696204807385
3319368691126,27983.30000000,0.38100000,27987.20000000,0.51000000,1696204804846,1696204807387
3319368693144,27983.30000000,0.38100000,27984.40000000,1.40600000,1696204804852,1696204807394
3319368693861,27983.30000000,0.38100000,27984.40000000,1.29600000,1696204804855,1696204807400
3319368696480,27981.80000000,1.52100000,27984.40000000,1.29600000,1696204804861,1696204807407
3319368696762,27981.80000000,1.52100000,27984.40000000,1.28200000,1696204804862,1696204807408
3319368696776,27981.80000000,1.51400000,27984.40000000,1.28200000,1696204804862,1696204807408
3319368699817,27981.80000000,1.39800000,27984.40000000,1.28200000,1696204804870,1696204807423
3319368700886,27981.80000000,0.39800000,27984.40000000,1.28200000,1696204804874,1696204807426
3319368701468,27981.80000000,0.39800000,27984.40000000,1.28000000,1696204804876,1696204807429
3319368702477,27981.80000000,0.39400000,27984.40000000,1.28000000,1696204804878,1696204807431
3319368704167,27981.80000000,0.28800000,27984.40000000,1.28000000,1696204804882,1696204807438
3319368705139,27981.80000000,0.18300000,27984.40000000,1.28000000,1696204804884,1696204807441
3319368705643,27981.80000000,0.18300000,27984.40000000,1.27900000,1696204804885,1696204807443
